,train_dataset,test_dataset,samples,train_time,accuracy,precision,recall,f1
0,ElectricDevices,ElectricDevices,50,54.997445583343506,0.7505569019651582,0.7578996791958078,0.7505569019651582,0.7355985399204505
1,ElectricDevices,EthanolLevel,50,54.997445583343506,0.2599398218488396,0.6285211534065451,0.2599398218488396,0.17202533508899795
2,ElectricDevices,Phoneme,50,54.997445583343506,0.17677418746497695,0.7109482284878385,0.17677418746497695,0.08755453471338237
3,ElectricDevices,ECG5000,50,54.997445583343506,0.9188006336307769,0.9247633697366876,0.9188006336307769,0.8893083902244343
4,ElectricDevices,Earthquakes,50,54.997445583343506,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923
5,ElectricDevices,ElectricDevices,100,95.0929582118988,0.7532614997705883,0.7594604128668662,0.7532614997705883,0.740175609202904
6,ElectricDevices,EthanolLevel,100,95.0929582118988,0.25597461792832243,0.6250461182709767,0.25597461792832243,0.16806336858745471
7,ElectricDevices,Phoneme,100,95.0929582118988,0.18625196667959823,0.7478375057398768,0.18625196667959823,0.09547361727518855
8,ElectricDevices,ECG5000,100,95.0929582118988,0.9174010335988024,0.9234716120788123,0.9174010335988024,0.8879571697727576
9,ElectricDevices,Earthquakes,100,95.0929582118988,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923
10,ElectricDevices,ElectricDevices,500,465.8733780384064,0.76233761926239,0.7741419182739534,0.76233761926239,0.7508234224262814
11,ElectricDevices,EthanolLevel,500,465.8733780384064,0.2629189382429171,0.6289516990352673,0.2629189382429171,0.17362258171106768
12,ElectricDevices,Phoneme,500,465.8733780384064,0.22132352148799517,0.5245086546264254,0.22132352148799517,0.14000774734054353
13,ElectricDevices,ECG5000,500,465.8733780384064,0.9272008743509401,0.9159041605811843,0.9272008743509401,0.9022944868138083
14,ElectricDevices,Earthquakes,500,465.8733780384064,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923
15,ElectricDevices,ElectricDevices,1000,938.5295469760895,0.7682283572830931,0.7759926163220117,0.7682283572830931,0.7578989115869406
16,ElectricDevices,EthanolLevel,1000,938.5295469760895,0.24301844073047932,0.619296673009246,0.24301844073047932,0.16079921221960722
17,ElectricDevices,Phoneme,1000,938.5295469760895,0.2355428843915686,0.462809950268059,0.2355428843915686,0.1565786483244215
18,ElectricDevices,ECG5000,1000,938.5295469760895,0.9266001541588441,0.9159350387213893,0.9266001541588441,0.9015882110015442
19,ElectricDevices,Earthquakes,1000,938.5295469760895,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923
20,EthanolLevel,ElectricDevices,50,25.843017578125,0.6578696891566027,0.6927435294896597,0.6578696891566027,0.6187999096542941
21,EthanolLevel,EthanolLevel,50,25.843017578125,0.2539696725951083,0.6257973748167351,0.2539696725951083,0.1683203402921254
22,EthanolLevel,Phoneme,50,25.843017578125,0.1715624865295918,0.7260445515751358,0.1715624865295918,0.06975494665142874
23,EthanolLevel,ECG5000,50,25.843017578125,0.9188005136067625,0.9248130900860393,0.9188005136067625,0.8893260243764004
24,EthanolLevel,Earthquakes,50,25.843017578125,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923
25,EthanolLevel,ElectricDevices,100,49.11390018463135,0.6033523377070599,0.6787711783677072,0.6033523377070599,0.5491543142471339
26,EthanolLevel,EthanolLevel,100,49.11390018463135,0.24899454821699885,0.6231583791561047,0.24899454821699885,0.16456378135480787
27,EthanolLevel,Phoneme,100,49.11390018463135,0.1691930417259365,0.731400369268203,0.1691930417259365,0.0711652504847044
28,EthanolLevel,ECG5000,100,49.11390018463135,0.9192005536467738,0.9253518494381856,0.9192005536467738,0.8897478346432593
29,EthanolLevel,Earthquakes,100,49.11390018463135,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923
30,EthanolLevel,ElectricDevices,500,234.9562201499939,0.6424227416873884,0.6900192857813062,0.6424227416873884,0.6032792834085551
31,EthanolLevel,EthanolLevel,500,234.9562201499939,0.2440194238388894,0.6203987920305273,0.2440194238388894,0.1624632523266379
32,EthanolLevel,Phoneme,500,234.9562201499939,0.1725128238286133,0.7012622643050426,0.1725128238286133,0.0725419518710956
33,EthanolLevel,ECG5000,500,234.9562201499939,0.9208005937828041,0.9098984989872726,0.9208005937828041,0.8940448779224649
34,EthanolLevel,Earthquakes,500,234.9562201499939,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923
35,EthanolLevel,ElectricDevices,1000,479.88163661956787,0.6263128685938552,0.6919813585528347,0.6263128685938552,0.5791510789363049
