,test_dataset,train_time,accuracy,precision,recall,f1
0,OSULeaf,865.4357106685638,0.5294018508304222,0.6282479084502269,0.5294018508304222,0.47566200940861547
1,DistalPhalanxOutlineAgeGroup,865.4357106685638,0.7753983033312642,0.8518870302824734,0.7753983033312642,0.7486518331812912
2,FiftyWords,865.4357106685638,0.3779051432678415,0.6743109256944829,0.3779051432678415,0.25840654128196316
3,MedicalImages,865.4357106685638,0.6643320900676889,0.7108345328208342,0.6643320900676889,0.5751829305757777
4,TwoPatterns,865.4357106685638,0.9829996785756894,0.9832648413266561,0.9829996785756894,0.9830232528003281
5,ScreenType,865.4357106685638,0.4093333333333333,0.3463769928368323,0.4093333333333333,0.3567307047609914
6,EOGVerticalSignal,865.4357106685638,0.2707211686842015,0.40624211188726517,0.2707211686842015,0.21595327014096255
7,TwoLeadECG,865.4357106685638,0.9750370725556531,0.9755563869927221,0.9750370725556531,0.9750272099689221
8,ECGFiveDays,865.4357106685638,1.0,1.0,1.0,1.0
9,GestureMidAirD2,865.4357106685638,0.04135061104087653,0.6504708731752671,0.04135061104087653,0.015574400955331157
10,NonInvasiveFetalECGThorax2,865.4357106685638,0.6339973439575034,0.7210251008480087,0.6339973439575034,0.5919813563791969
11,DiatomSizeReduction,865.4357106685638,0.9782796815507094,0.9797633470141257,0.9782796815507094,0.9782475127920448
12,EthanolLevel,865.4357106685638,0.2400184705216433,0.6173924147614903,0.2400184705216433,0.15789470077012083
13,DistalPhalanxOutlineCorrect,865.4357106685638,0.7557077625570776,0.7930791200821531,0.7557077625570776,0.7268084970763186
14,UWaveGestureLibraryX,865.4357106685638,0.7005347265493364,0.685881309933389,0.7005347265493364,0.6843394874309249
15,Yoga,865.4357106685638,0.7181818181818183,0.7203483136628348,0.7181818181818183,0.7155222475935167
16,Wine,865.4357106685638,0.5135135135135135,0.7501826150474799,0.5135135135135135,0.34845559845559837
17,GestureMidAirD1,865.4357106685638,0.07395701643489254,0.7137978659775343,0.07395701643489254,0.030017603138450654
18,UWaveGestureLibraryAll,865.4357106685638,0.7112558936041712,0.7199855878513998,0.7112558936041712,0.7086459570760925
19,PigCVP,865.4357106685638,0.3141025641025641,0.496062271062271,0.3141025641025641,0.26573056573056575
20,WormsTwoClass,865.4357106685638,0.6007751937984496,0.7101965063797562,0.6007751937984496,0.4915305297411054
21,Haptics,865.4357106685638,0.36285434995112414,0.358567553403872,0.36285434995112414,0.31203645290998305
22,Adiac,865.4357106685638,0.1331859711170056,0.8842897263168757,0.1331859711170056,0.08496590306440958
23,FordA,865.4357106685638,0.8864029220730965,0.8878599949930139,0.8864029220730965,0.8861945551976248
24,UMD,865.4357106685638,0.8166666666666668,0.8829273707322488,0.8166666666666668,0.813898235303153
25,BME,865.4357106685638,0.85,0.8972841337196794,0.85,0.841105549810635
26,ShakeGestureWiimoteZ,865.4357106685638,0.15002970885323827,0.6573805279687633,0.15002970885323827,0.09635886988828164
27,ProximalPhalanxOutlineCorrect,865.4357106685638,0.6307519640852974,0.7738031425352435,0.6307519640852974,0.5545357006080733
28,GunPointOldVersusYoung,865.4357106685638,1.0,1.0,1.0,1.0
29,ToeSegmentation2,865.4357106685638,0.8493506493506494,0.861611863313991,0.8493506493506494,0.825685454549611
30,CricketX,865.4357106685638,0.4358974358974359,0.42308791158526127,0.4358974358974359,0.41506351063721764
31,PowerCons,865.4357106685638,0.8666666666666666,0.8711859243840351,0.8666666666666666,0.8663093112421175
32,ShapeletSim,865.4357106685638,0.600256294286145,0.741522450600188,0.600256294286145,0.5317312997078524
33,EOGHorizontalSignal,865.4357106685638,0.3424951133363054,0.423435741799895,0.3424951133363054,0.2991351262747855
34,FaceAll,865.4357106685638,0.8066666666666666,0.831099323983648,0.8066666666666666,0.7993771896770335
35,MoteStrain,865.4357106685638,0.9158805031446541,0.9175764582209034,0.9158805031446541,0.915633722056343
36,Fungi,865.4357106685638,0.29411764705882354,0.7211360150806518,0.29411764705882354,0.155107022831481
37,Wafer,865.4357106685638,0.9930206588498045,0.993007137376889,0.9930206588498045,0.9929444091405633
38,Car,865.4357106685638,0.5833333333333334,0.6650106284617153,0.5833333333333334,0.5486310338679433
39,BirdChicken,865.4357106685638,0.7216117216117217,0.7856125356125356,0.7216117216117217,0.6917012081485767
40,GunPointAgeSpan,865.4357106685638,0.5166298749080206,0.5171062303544004,0.5166298749080206,0.49745219518280487
41,Strawberry,865.4357106685638,0.6449615872305512,0.7712726634883552,0.6449615872305512,0.5078509602965803
42,Chinatown,865.4357106685638,0.9669421487603306,0.9670965157377466,0.9669421487603306,0.9669661498809982
43,BeetleFly,865.4357106685638,0.7765567765567765,0.8275946275946277,0.7765567765567765,0.7668803418803419
44,ProximalPhalanxOutlineAgeGroup,865.4357106685638,0.7867839022708241,0.8477644234142332,0.7867839022708241,0.7348243656203373
45,InsectWingbeatSound,865.4357106685638,0.47000122671563616,0.49979388209670633,0.47000122671563616,0.4507407641445437
46,DodgerLoopDay,865.4357106685638,,,,
47,Symbols,865.4357106685638,0.9500000000000001,0.9511932064007783,0.9500000000000001,0.9499060891007399
48,DistalPhalanxTW,865.4357106685638,0.7513656114214773,0.8516516349537314,0.7513656114214773,0.6759981265178944
49,NonInvasiveFetalECGThorax1,865.4357106685638,0.452855245683931,0.5846510055206364,0.452855245683931,0.4092590559638993
50,SemgHandMovementCh2,865.4357106685638,0.4155555555555555,0.5019652648178526,0.4155555555555555,0.3930752109298899
51,InsectEPGRegularTrain,865.4357106685638,1.0,1.0,1.0,1.0
52,AllGestureWiimoteY,865.4357106685638,,,,
