,test_dataset,train_time,accuracy,precision,recall,f1
0,OSULeaf,29507.630043506622,0.2194490408776123,0.828715049713198,0.2194490408776123,0.07898985413503055
1,DistalPhalanxOutlineAgeGroup,29507.630043506622,0.5974032691909786,0.7594926064380219,0.5974032691909786,0.446841089196996
2,FiftyWords,29507.630043506622,0.12044106106943009,0.894067168102386,0.12044106106943009,0.025896559253173454
3,MedicalImages,29507.630043506622,0.5205967675093245,0.7504246424559331,0.5205967675093245,0.3564668555629593
4,TwoPatterns,29507.630043506622,0.2611999808921769,0.8070255136657652,0.2611999808921769,0.10819136001063089
5,ScreenType,29507.630043506622,0.3373333333333333,0.5679986748877385,0.3373333333333333,0.20435603027284008
6,EOGVerticalSignal,29507.630043506622,0.24723660596915972,0.4492823613935961,0.24723660596915972,0.1771582967386259
7,TwoLeadECG,29507.630043506622,0.5188981237290996,0.6965735448297942,0.5188981237290996,0.39407659501374237
8,ECGFiveDays,29507.630043506622,0.5113417118259734,0.723899416397242,0.5113417118259734,0.3626306973565245
9,GestureMidAirD2,29507.630043506622,,,,
10,NonInvasiveFetalECGThorax2,29507.630043506622,0.0297476759628154,0.9672829218096752,0.0297476759628154,0.003130054302451753
11,DiatomSizeReduction,29507.630043506622,0.4040325372101073,0.7830834831199978,0.4040325372101073,0.249639649298781
12,EthanolLevel,29507.630043506622,0.2649596329728603,0.6287207946883031,0.2649596329728603,0.15921386773875254
13,DistalPhalanxOutlineCorrect,29507.630043506622,0.615296803652968,0.7632959592168637,0.615296803652968,0.4687573891380759
14,UWaveGestureLibraryX,29507.630043506622,0.25167148809427614,0.5303766634121054,0.25167148809427614,0.18667175161984176
15,Yoga,29507.630043506622,0.5363636363636364,0.7513223140495868,0.5363636363636364,0.3745024206562668
16,Wine,29507.630043506622,0.5135135135135135,0.7501826150474799,0.5135135135135135,0.34845559845559837
17,GestureMidAirD1,29507.630043506622,0.08280657395701643,0.6981785985777943,0.08280657395701643,0.025340159997836734
18,UWaveGestureLibraryAll,29507.630043506622,0.22577090467460004,0.5914606083766946,0.22577090467460004,0.14279918506945508
19,PigCVP,29507.630043506622,0.05769230769230769,0.5768648018648018,0.05769230769230769,0.03419742650511882
20,WormsTwoClass,29507.630043506622,0.5775193798449613,0.7560393005228051,0.5775193798449613,0.4228673726165746
21,Haptics,29507.630043506622,0.2224828934506354,0.6384909009946852,0.2224828934506354,0.10550130744635171
22,Adiac,29507.630043506622,0.037130366440711264,0.9642514638573716,0.037130366440711264,0.002664296140516507
23,FordA,29507.630043506622,0.5135134733431429,0.7501826335001694,0.5135134733431429,0.3484555644572643
24,UMD,29507.630043506622,0.49999999999999994,0.7417265509590315,0.49999999999999994,0.36716224951519066
25,BME,29507.630043506622,0.5166666666666667,0.6836346627908295,0.5166666666666667,0.4052204734209743
26,ShakeGestureWiimoteZ,29507.630043506622,,,,
27,ProximalPhalanxOutlineCorrect,29507.630043506622,0.6790123456790124,0.7820479391747629,0.6790123456790124,0.5492022271525051
28,GunPointOldVersusYoung,29507.630043506622,0.5232818248712289,0.7505494560829852,0.5232818248712289,0.3595225230982413
29,ToeSegmentation2,29507.630043506622,0.7469696969696971,0.8109986225895316,0.7469696969696971,0.6387806637806638
30,CricketX,29507.630043506622,0.09230769230769231,0.7052800153787251,0.09230769230769231,0.03479670145359607
31,PowerCons,29507.630043506622,0.5527777777777778,0.6448180027619279,0.5527777777777778,0.4683316115373188
32,ShapeletSim,29507.630043506622,0.4697723503693653,0.6413581723407175,0.4697723503693653,0.35795416300848704
33,EOGHorizontalSignal,29507.630043506622,0.23754329412571584,0.41948380013128633,0.23754329412571584,0.1569358800577491
34,FaceAll,29507.630043506622,0.24488888888888885,0.8459848643752267,0.24488888888888885,0.1360662024268561
35,MoteStrain,29507.630043506622,0.7515723270440252,0.7640916608200664,0.7515723270440252,0.7449486881565924
36,Fungi,29507.630043506622,0.1568627450980392,0.8374906698216118,0.1568627450980392,0.05400316861883445
37,Wafer,29507.630043506622,0.8936348408710217,0.9049483879475545,0.8936348408710217,0.8434395180976383
38,Car,29507.630043506622,0.3416666666666666,0.5795628902806013,0.3416666666666666,0.30784368610455565
