,diversity,test_dataset,train_time,accuracy,precision,recall,f1,samples,architecture
14,5,Phoneme,2027.5355684757233,0.17535406967972758,0.7408515916993872,0.17535406967972758,0.09233697867518954,500.0,cnn
4,1,Phoneme,366.88373859723407,0.17203484884405937,0.6759701153928005,0.17203484884405937,0.09042818948064946,500.0,cnn
4,1,Phoneme,223.2934327920278,0.11753514878514877,0.8518584514139679,0.11753514878514877,0.02833324663965695,500.0,rnn
9,3,Phoneme,1929.8376269340515,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0,cnn
19,10,Phoneme,2001.7885395288467,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0,cnn
24,20,Phoneme,2301.511611878872,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0,cnn
29,40,Phoneme,2264.0279891490936,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0,cnn
9,3,Phoneme,102.10206349690755,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0,rnn
14,5,Phoneme,125.22377626101176,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0,rnn
19,10,Phoneme,335.02873190244037,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0,rnn
24,20,Phoneme,663.0952397982279,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0,rnn
29,40,Phoneme,670.4271103541056,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0,rnn
3,1,EthanolLevel,223.2934327920278,0.2569706358427423,0.753058373984853,0.2569706358427423,0.12656634806087272,500.0,rnn
13,5,EthanolLevel,2027.5355684757233,0.2529880537432597,0.7181451737611846,0.2529880537432597,0.1309295296383063,500.0,cnn
8,3,EthanolLevel,1929.8376269340515,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0,cnn
18,10,EthanolLevel,2001.7885395288467,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0,cnn
23,20,EthanolLevel,2301.511611878872,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0,cnn
28,40,EthanolLevel,2264.0279891490936,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0,cnn
8,3,EthanolLevel,102.10206349690755,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0,rnn
13,5,EthanolLevel,125.22377626101176,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0,rnn
18,10,EthanolLevel,335.02873190244037,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0,rnn
23,20,EthanolLevel,663.0952397982279,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0,rnn
28,40,EthanolLevel,670.4271103541056,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0,rnn
3,1,EthanolLevel,366.88373859723407,0.250000496519399,0.5843554280169903,0.250000496519399,0.17152537310861857,500.0,cnn
