,diversity,train_time,test_dataset,accuracy,precision,recall,f1,samples
0,1,463.7826039791107,ElectricDevices,0.4759289494612429,0.6353043484330578,0.4759289494612429,0.4088513714728729,500.0
1,1,463.7826039791107,EthanolLevel,0.2689188786605893,0.6351693998145483,0.2689188786605893,0.17826177542999647,500.0
2,1,463.7826039791107,Phoneme,0.12701382602698394,0.7557204784590159,0.12701382602698394,0.0392656354382556,500.0
3,1,463.7826039791107,ECG5000,0.9044025528627768,0.9101932186061328,0.9044025528627768,0.8748960840552917,500.0
4,1,463.7826039791107,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
5,1,107.00446271896362,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
6,1,107.00446271896362,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
7,1,107.00446271896362,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
8,1,107.00446271896362,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
9,1,107.00446271896362,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
10,1,99.09323167800905,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
11,1,99.09323167800905,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
12,1,99.09323167800905,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
13,1,99.09323167800905,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
14,1,99.09323167800905,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
15,3,104.65843272209169,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
16,3,104.65843272209169,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
17,3,104.65843272209169,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
18,3,104.65843272209169,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
19,3,104.65843272209169,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
20,3,102.56422972679138,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
21,3,102.56422972679138,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
22,3,102.56422972679138,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
23,3,102.56422972679138,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
24,3,102.56422972679138,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
25,3,99.0835280418396,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
26,3,99.0835280418396,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
27,3,99.0835280418396,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
28,3,99.0835280418396,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
29,3,99.0835280418396,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
30,5,121.63353538513184,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
31,5,121.63353538513184,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
32,5,121.63353538513184,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
33,5,121.63353538513184,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
34,5,121.63353538513184,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
35,5,127.03376865386964,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
36,5,127.03376865386964,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
37,5,127.03376865386964,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
38,5,127.03376865386964,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
39,5,127.03376865386964,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
40,5,127.0040247440338,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
41,5,127.0040247440338,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
42,5,127.0040247440338,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
43,5,127.0040247440338,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
44,5,127.0040247440338,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
45,10,336.7892010211945,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
46,10,336.7892010211945,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
47,10,336.7892010211945,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
48,10,336.7892010211945,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
49,10,336.7892010211945,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
50,10,334.947242975235,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
51,10,334.947242975235,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
52,10,334.947242975235,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
53,10,334.947242975235,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
54,10,334.947242975235,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
55,10,333.34975171089167,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
56,10,333.34975171089167,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
57,10,333.34975171089167,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
58,10,333.34975171089167,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
59,10,333.34975171089167,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
60,20,659.8550615310669,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
61,20,659.8550615310669,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
